Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Units,Value
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",Киргизия,Женщины,от 15 до 49 лет ,,Процент,99.7
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",Киргизия,Женщины,от 15 до 49 лет ,Городская,Процент,99.8
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",Киргизия,Женщины,от 15 до 49 лет ,Сельская,Процент,99.6
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",Баткенская область,Женщины,от 15 до 49 лет ,,Процент,99.7
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",Джалал-Абадская область,Женщины,от 15 до 49 лет ,,Процент,99.4
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",Иссык-Кульская область,Женщины,от 15 до 49 лет ,,Процент,100.0
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",Нарынская область,Женщины,от 15 до 49 лет ,,Процент,99.7
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",Ошская область,Женщины,от 15 до 49 лет ,,Процент,99.8
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",Таласская область,Женщины,от 15 до 49 лет ,,Процент,100.0
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",Чуйская область,Женщины,от 15 до 49 лет ,,Процент,99.5
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",г. Бишкек,Женщины,от 15 до 49 лет ,,Процент,99.9
2018,Годовая,Национальный,"Доля замужних женщин и сексуально активных незамужних женщин в возрасте 15-49 лет, которые были осведомлены о соврeменном методе контрацепции",г. Ош,Женщины,от 15 до 49 лет ,,Процент,99.5
