Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Возраст,Степень урбанизации,Уровень образования,Unit of measure,Value
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,,15 years old and over,,,Процент,91.8
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,,15 years old and over,городская местность,,Процент,94.9
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,,15 years old and over,сельская местность,,Процент,89.9
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,мужской,15 years old and over,,,Процент,92.8
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,женский,15 years old and over,,,Процент,91.0
2018,Annual,National,Proportion of individuals who own a mobile telephone,Баткенская область,,15 years old and over,,,Процент,91.1
2018,Annual,National,Proportion of individuals who own a mobile telephone,Жалал-Абад область,,15 years old and over,,,Процент,90.6
2018,Annual,National,Proportion of individuals who own a mobile telephone,Иссык-Кульская область,,15 years old and over,,,Процент,92.1
2018,Annual,National,Proportion of individuals who own a mobile telephone,Нарынская область,,15 years old and over,,,Процент,89.4
2018,Annual,National,Proportion of individuals who own a mobile telephone,Ошская область,,15 years old and over,,,Процент,87.6
2018,Annual,National,Proportion of individuals who own a mobile telephone,Таласская область,,15 years old and over,,,Процент,91.5
2018,Annual,National,Proportion of individuals who own a mobile telephone,Чуйская область,,15 years old and over,,,Процент,94.6
2018,Annual,National,Proportion of individuals who own a mobile telephone,г. Бишкек,,15 years old and over,,,Процент,97.0
2018,Annual,National,Proportion of individuals who own a mobile telephone,г. Ош,,15 years old and over,,,Процент,88.3
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,,15 to 28 years old,,,Процент,90.9
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,,15 years old and over,,Начальное образование (1-4 классы),Процент,58.1
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,,15 years old and over,,1- этап среднего образования,Процент,84.0
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,,15 years old and over,,Secondary and post-secondary non-tertiary education (intermediate),Процент,92.8
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,,15 years old and over,,Short-cycle tertiary education,Процент,96.4
2018,Annual,National,Proportion of individuals who own a mobile telephone,Kyrgyzstan,,15 years old and over,,Bachelor’s or equivalent level,Процент,98.1
