Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,2.1
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,2.4
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,2.0
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,2.9
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,2.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,2.5
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,2.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,1.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,1.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,2.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,2.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B1,,PT,1.7
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,10.6
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,10.7
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,9.5
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,11.3
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,12.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,10.7
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,8.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,6.5
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,7.7
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,8.4
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,8.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_060101_2B2,,PT,8.2
