Year,Частота наблюдений,Тип отчетности,Series,Территория,Тип местности,Units,Value
2011,Годовая,Национальный,SH_H2O_SAFE,,,PT,92.4
2012,Годовая,Национальный,SH_H2O_SAFE,,,PT,93.2
2013,Годовая,Национальный,SH_H2O_SAFE,,,PT,89.6
2014,Годовая,Национальный,SH_H2O_SAFE,,,PT,88.9
2015,Годовая,Национальный,SH_H2O_SAFE,,,PT,89.1
2016,Годовая,Национальный,SH_H2O_SAFE,,,PT,89.9
2017,Годовая,Национальный,SH_H2O_SAFE,,,PT,91.1
2018,Годовая,Национальный,SH_H2O_SAFE,,,PT,91.8
2011,Годовая,Национальный,SH_H2O_SAFE,,Городская,PT,99.7
2012,Годовая,Национальный,SH_H2O_SAFE,,Городская,PT,99.8
2013,Годовая,Национальный,SH_H2O_SAFE,,Городская,PT,99.5
2014,Годовая,Национальный,SH_H2O_SAFE,,Городская,PT,99.1
2015,Годовая,Национальный,SH_H2O_SAFE,,Городская,PT,99.1
2016,Годовая,Национальный,SH_H2O_SAFE,,Городская,PT,99.3
2017,Годовая,Национальный,SH_H2O_SAFE,,Городская,PT,93.9
2018,Годовая,Национальный,SH_H2O_SAFE,,Городская,PT,99.3
2011,Годовая,Национальный,SH_H2O_SAFE,,Сельская,PT,88.0
2012,Годовая,Национальный,SH_H2O_SAFE,,Сельская,PT,89.4
2013,Годовая,Национальный,SH_H2O_SAFE,,Сельская,PT,84.4
2014,Годовая,Национальный,SH_H2O_SAFE,,Сельская,PT,83.3
2015,Годовая,Национальный,SH_H2O_SAFE,,Сельская,PT,83.7
2016,Годовая,Национальный,SH_H2O_SAFE,,Сельская,PT,84.9
2017,Годовая,Национальный,SH_H2O_SAFE,,Сельская,PT,86.7
2018,Годовая,Национальный,SH_H2O_SAFE,,Сельская,PT,87.8
2011,Годовая,Национальный,SH_H2O_SAFE,Баткенская область,,PT,69.7
2012,Годовая,Национальный,SH_H2O_SAFE,Баткенская область,,PT,70.0
2013,Годовая,Национальный,SH_H2O_SAFE,Баткенская область,,PT,73.1
2014,Годовая,Национальный,SH_H2O_SAFE,Баткенская область,,PT,74.3
2015,Годовая,Национальный,SH_H2O_SAFE,Баткенская область,,PT,73.3
2016,Годовая,Национальный,SH_H2O_SAFE,Баткенская область,,PT,74.1
2017,Годовая,Национальный,SH_H2O_SAFE,Баткенская область,,PT,79.0
2018,Годовая,Национальный,SH_H2O_SAFE,Баткенская область,,PT,83.6
2011,Годовая,Национальный,SH_H2O_SAFE,Джалал-Абадская область,,PT,95.4
2012,Годовая,Национальный,SH_H2O_SAFE,Джалал-Абадская область,,PT,96.0
2013,Годовая,Национальный,SH_H2O_SAFE,Джалал-Абадская область,,PT,91.6
2014,Годовая,Национальный,SH_H2O_SAFE,Джалал-Абадская область,,PT,89.5
2015,Годовая,Национальный,SH_H2O_SAFE,Джалал-Абадская область,,PT,87.7
2016,Годовая,Национальный,SH_H2O_SAFE,Джалал-Абадская область,,PT,87.3
2017,Годовая,Национальный,SH_H2O_SAFE,Джалал-Абадская область,,PT,91.2
2018,Годовая,Национальный,SH_H2O_SAFE,Джалал-Абадская область,,PT,86.4
