Year,Статус наблюдения,Множитель,Характер данных,Информация об источнике,Частота наблюдений,Тип отчетности,Series,Территория,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Units,Сноски на уровне наблюдения,Value
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,,,PT,,96.3
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,Городская,,,PT,,96.1
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,Сельская,,,PT,,96.5
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,Баткенская область,,,,PT,,99.6
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,Джалал-Абадская область,,,,PT,,93.4
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,Иссык-Кульская область,,,,PT,,99.1
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,Нарынская область,,,,PT,,99.4
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,Ошская область,,,,PT,,99.1
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,Таласская область,,,,PT,,99.8
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,Чуйская область,,,,PT,,91.6
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,г. Бишкек,,,,PT,,95.7
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,г. Ош,,,,PT,,96.8
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,,Начальное образование,PT,household head education,92.1
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,,Первый этап среднего образования,PT,household head education,94.7
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,,Второй этап среднего образования,PT,household head education,97.4
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,,Послесреднее нетретичное образование,PT,household head education,96.6
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,,Короткий цикл третичного образования,PT,household head education,95.1
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,Квинтиль 1 (беднейшие),,PT,,97.2
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,Квинтиль 2,,PT,,95.9
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,Квинтиль 3,,PT,,96.5
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,Квинтиль 4,,PT,,96.4
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_SAN_SAFE,,,Квинтиль 5 (богатейшие),,PT,,95.7
