Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2010,Annual,National,Water loss at transportation (volume),Kyrgyzstan,Million of cubic metres per annum,1768.0
2011,Annual,National,Water loss at transportation (volume),Kyrgyzstan,Million of cubic metres per annum,1877.1
2012,Annual,National,Water loss at transportation (volume),Kyrgyzstan,Million of cubic metres per annum,1955.3
2013,Annual,National,Water loss at transportation (volume),Kyrgyzstan,Million of cubic metres per annum,1873.3
2014,Annual,National,Water loss at transportation (volume),Kyrgyzstan,Million of cubic metres per annum,2029.8
2015,Annual,National,Water loss at transportation (volume),Kyrgyzstan,Million of cubic metres per annum,2092.3
2016,Annual,National,Water loss at transportation (volume),Kyrgyzstan,Million of cubic metres per annum,1841.6
2017,Annual,National,Water loss at transportation (volume),Kyrgyzstan,Million of cubic metres per annum,2128.3
2018,Annual,National,Water loss at transportation (volume),Kyrgyzstan,Million of cubic metres per annum,2085.2
2010,Annual,National,Water loss at transportation (volume),Баткенская область,Million of cubic metres per annum,116.2
2011,Annual,National,Water loss at transportation (volume),Баткенская область,Million of cubic metres per annum,118.7
2012,Annual,National,Water loss at transportation (volume),Баткенская область,Million of cubic metres per annum,92.6
2013,Annual,National,Water loss at transportation (volume),Баткенская область,Million of cubic metres per annum,92.6
2014,Annual,National,Water loss at transportation (volume),Баткенская область,Million of cubic metres per annum,48.3
2015,Annual,National,Water loss at transportation (volume),Баткенская область,Million of cubic metres per annum,114.7
2016,Annual,National,Water loss at transportation (volume),Баткенская область,Million of cubic metres per annum,114.5
2017,Annual,National,Water loss at transportation (volume),Баткенская область,Million of cubic metres per annum,105.8
2018,Annual,National,Water loss at transportation (volume),Баткенская область,Million of cubic metres per annum,101.1
2010,Annual,National,Water loss at transportation (volume),Жалал-Абад область,Million of cubic metres per annum,189.7
2011,Annual,National,Water loss at transportation (volume),Жалал-Абад область,Million of cubic metres per annum,218.9
2012,Annual,National,Water loss at transportation (volume),Жалал-Абад область,Million of cubic metres per annum,451.3
