Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Units,Value
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,,,PT,19.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,Городская,,,PT,47.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,Сельская,,,PT,3.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,,Начальное образование,PT,6.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,,Первый этап среднего образования,PT,10.5
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,,Второй этап среднего образования,PT,11.4
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,,Послесреднее нетретичное образование,PT,19.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,,Короткий цикл третичного образования,PT,38.9
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,Квинтиль 1 (беднейшие),,PT,10.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,Квинтиль 2,,PT,2.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,Квинтиль 3,,PT,6.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,Квинтиль 4,,PT,9.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EG_EGY_CLEAN,,,Квинтиль 5 (богатейшие),,PT,76.9
