Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2013,Годовая,Национальный,_L_KG_080301_21,Киргизия,PT,2.3
2014,Годовая,Национальный,_L_KG_080301_21,Киргизия,PT,2.3
2015,Годовая,Национальный,_L_KG_080301_21,Киргизия,PT,2.2
2016,Годовая,Национальный,_L_KG_080301_21,Киргизия,PT,2.2
2017,Годовая,Национальный,_L_KG_080301_21,Киргизия,PT,2.3
2018,Годовая,Национальный,_L_KG_080301_21,Киргизия,PT,2.2
2013,Годовая,Национальный,_L_KG_080301_22,Киргизия,PT,1.6
2014,Годовая,Национальный,_L_KG_080301_22,Киргизия,PT,1.6
2015,Годовая,Национальный,_L_KG_080301_22,Киргизия,PT,1.5
2016,Годовая,Национальный,_L_KG_080301_22,Киргизия,PT,1.5
2017,Годовая,Национальный,_L_KG_080301_22,Киргизия,PT,1.5
2018,Годовая,Национальный,_L_KG_080301_22,Киргизия,PT,1.4
