Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Вид экономической деятельности,Units,Value
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,,CUR_LCU,8365.6
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,,CUR_LCU,10675.2
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,,CUR_LCU,8700.3
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,,CUR_LCU,11716.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,,CUR_LCU,9113.1
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,,CUR_LCU,12439.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,,CUR_LCU,9732.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,,CUR_LCU,13694.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,,CUR_LCU,11125.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,,CUR_LCU,14742.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,,CUR_LCU,11742.9
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,,CUR_LCU,15591.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,,CUR_LCU,12182.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,,CUR_LCU,16802.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,,CUR_LCU,12573.5
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,,CUR_LCU,17556.4
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,4548.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,4561.6
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,4726.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,4879.9
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,5230.8
