Year,Территория,Пол,Возраст,Value
2010,Киргизия,,,8.6
2013,Киргизия,,,8.3
2014,Киргизия,,,8.0
2015,Киргизия,,,7.6
2016,Киргизия,,,7.2
2017,Киргизия,,,6.9
2018,Киргизия,,,6.2
2010,Киргизия,Мужчины,,9.9
2013,Киргизия,Мужчины,,9.7
2014,Киргизия,Мужчины,,9.5
2015,Киргизия,Мужчины,,9.0
2016,Киргизия,Мужчины,,8.7
2017,Киргизия,Мужчины,,8.9
2018,Киргизия,Мужчины,,6.9
2010,Киргизия,Женщины,,7.7
2013,Киргизия,Женщины,,7.4
2014,Киргизия,Женщины,,7.0
2015,Киргизия,Женщины,,6.5
2016,Киргизия,Женщины,,6.2
2017,Киргизия,Женщины,,5.6
2018,Киргизия,Женщины,,5.7
2010,Баткенская область,,,10.6
2013,Баткенская область,,,12.7
2014,Баткенская область,,,12.6
2015,Баткенская область,,,10.9
2016,Баткенская область,,,10.2
2017,Баткенская область,,,9.9
2018,Баткенская область,,,9.0
2010,Баткенская область,Мужчины,,15.8
2013,Баткенская область,Мужчины,,18.4
2014,Баткенская область,Мужчины,,18.7
2015,Баткенская область,Мужчины,,16.5
2016,Баткенская область,Мужчины,,15.3
2017,Баткенская область,Мужчины,,16.0
2018,Баткенская область,Мужчины,,12.2
2010,Баткенская область,Женщины,,7.2
2013,Баткенская область,Женщины,,9.8
2014,Баткенская область,Женщины,,9.6
2015,Баткенская область,Женщины,,7.6
2016,Баткенская область,Женщины,,7.1
2017,Баткенская область,Женщины,,6.3
2018,Баткенская область,Женщины,,7.3
2010,Джалал-Абадская область,,,7.8
2013,Джалал-Абадская область,,,8.2
2014,Джалал-Абадская область,,,7.6
2015,Джалал-Абадская область,,,7.7
2016,Джалал-Абадская область,,,7.5
2017,Джалал-Абадская область,,,7.2
2018,Джалал-Абадская область,,,6.2
2010,Джалал-Абадская область,Мужчины,,8.9
2013,Джалал-Абадская область,Мужчины,,10.3
2014,Джалал-Абадская область,Мужчины,,10.0
2015,Джалал-Абадская область,Мужчины,,9.9
2016,Джалал-Абадская область,Мужчины,,10.3
