Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,16.7
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,17.0
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,17.8
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,18.3
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,17.4
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,17.7
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,22.1
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,20.7
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,21.4
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,20.4
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,21.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,,от 15 до 24 лет ,PT,20.5
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,10.7
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,12.8
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,12.3
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,11.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,9.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,10.1
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,14.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,12.5
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,13.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,12.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,12.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Мужчины,от 15 до 24 лет ,PT,12.0
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,22.8
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,21.3
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,23.5
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,25.2
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,25.2
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,25.5
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,30.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,29.2
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,29.5
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,29.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,30.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SL_TLF_NEET,,Женщины,от 15 до 24 лет ,PT,29.4
