Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2010,Годовая,Национальный,SL_TLF_MANF,Киргизия,,PT,7.8
2011,Годовая,Национальный,SL_TLF_MANF,Киргизия,,PT,7.6
2012,Годовая,Национальный,SL_TLF_MANF,Киргизия,,PT,7.6
2013,Годовая,Национальный,SL_TLF_MANF,Киргизия,,PT,6.9
2014,Годовая,Национальный,SL_TLF_MANF,Киргизия,,PT,6.9
2015,Годовая,Национальный,SL_TLF_MANF,Киргизия,,PT,7.4
2016,Годовая,Национальный,SL_TLF_MANF,Киргизия,,PT,7.6
2017,Годовая,Национальный,SL_TLF_MANF,Киргизия,,PT,10.1
2018,Годовая,Национальный,SL_TLF_MANF,Киргизия,,PT,12.0
2010,Годовая,Национальный,SL_TLF_MANF,Баткенская область,,PT,6.4
2011,Годовая,Национальный,SL_TLF_MANF,Баткенская область,,PT,6.4
2012,Годовая,Национальный,SL_TLF_MANF,Баткенская область,,PT,5.7
2013,Годовая,Национальный,SL_TLF_MANF,Баткенская область,,PT,3.1
2014,Годовая,Национальный,SL_TLF_MANF,Баткенская область,,PT,3.0
2015,Годовая,Национальный,SL_TLF_MANF,Баткенская область,,PT,2.3
2016,Годовая,Национальный,SL_TLF_MANF,Баткенская область,,PT,2.4
2017,Годовая,Национальный,SL_TLF_MANF,Баткенская область,,PT,4.5
2018,Годовая,Национальный,SL_TLF_MANF,Баткенская область,,PT,6.9
2010,Годовая,Национальный,SL_TLF_MANF,Джалал-Абадская область,,PT,3.1
2011,Годовая,Национальный,SL_TLF_MANF,Джалал-Абадская область,,PT,3.3
2012,Годовая,Национальный,SL_TLF_MANF,Джалал-Абадская область,,PT,4.3
2013,Годовая,Национальный,SL_TLF_MANF,Джалал-Абадская область,,PT,5.1
2014,Годовая,Национальный,SL_TLF_MANF,Джалал-Абадская область,,PT,5.3
2015,Годовая,Национальный,SL_TLF_MANF,Джалал-Абадская область,,PT,5.5
2016,Годовая,Национальный,SL_TLF_MANF,Джалал-Абадская область,,PT,5.4
2017,Годовая,Национальный,SL_TLF_MANF,Джалал-Абадская область,,PT,8.9
2018,Годовая,Национальный,SL_TLF_MANF,Джалал-Абадская область,,PT,15.3
2010,Годовая,Национальный,SL_TLF_MANF,Иссык-Кульская область,,PT,3.2
2011,Годовая,Национальный,SL_TLF_MANF,Иссык-Кульская область,,PT,3.7
2012,Годовая,Национальный,SL_TLF_MANF,Иссык-Кульская область,,PT,4.1
2013,Годовая,Национальный,SL_TLF_MANF,Иссык-Кульская область,,PT,4.1
2014,Годовая,Национальный,SL_TLF_MANF,Иссык-Кульская область,,PT,4.2
2015,Годовая,Национальный,SL_TLF_MANF,Иссык-Кульская область,,PT,4.7
2016,Годовая,Национальный,SL_TLF_MANF,Иссык-Кульская область,,PT,5.3
2017,Годовая,Национальный,SL_TLF_MANF,Иссык-Кульская область,,PT,6.4
2018,Годовая,Национальный,SL_TLF_MANF,Иссык-Кульская область,,PT,8.2
2010,Годовая,Национальный,SL_TLF_MANF,Нарынская область,,PT,2.4
2011,Годовая,Национальный,SL_TLF_MANF,Нарынская область,,PT,1.6
2012,Годовая,Национальный,SL_TLF_MANF,Нарынская область,,PT,1.6
2013,Годовая,Национальный,SL_TLF_MANF,Нарынская область,,PT,1.4
2014,Годовая,Национальный,SL_TLF_MANF,Нарынская область,,PT,0.9
2015,Годовая,Национальный,SL_TLF_MANF,Нарынская область,,PT,1.1
2016,Годовая,Национальный,SL_TLF_MANF,Нарынская область,,PT,1.4
