Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Составная разбивка,Units,Value
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,,KG,1536
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,,KG,2124
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,,KG,2177
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,,KG,2255
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,,KG,3026
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,,KG,3049
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,,KG,2643
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,,KG,2482
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,,KG,2836
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: твердые,KG,745
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: твердые,KG,906
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: твердые,KG,909
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: твердые,KG,800
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: твердые,KG,1127
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: твердые,KG,1218
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: твердые,KG,1013
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: твердые,KG,1261
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: твердые,KG,910
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: газообразные и жидкие,KG,790
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: газообразные и жидкие,KG,1218
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: газообразные и жидкие,KG,1268
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: газообразные и жидкие,KG,1456
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: газообразные и жидкие,KG,1899
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: газообразные и жидкие,KG,1831
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: газообразные и жидкие,KG,1630
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: газообразные и жидкие,KG,1221
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: газообразные и жидкие,KG,1926
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: сернистый ангидрид,KG,395
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: сернистый ангидрид,KG,470
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: сернистый ангидрид,KG,271
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: сернистый ангидрид,KG,631
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: сернистый ангидрид,KG,923
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: сернистый ангидрид,KG,954
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: сернистый ангидрид,KG,806
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: сернистый ангидрид,KG,390
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: сернистый ангидрид,KG,903
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окись углерода,KG,170
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окись углерода,KG,484
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окись углерода,KG,498
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окись углерода,KG,523
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окись углерода,KG,615
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окись углерода,KG,499
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окись углерода,KG,471
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окись углерода,KG,471
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окись углерода,KG,607
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окислы азота,KG,125
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окислы азота,KG,154
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окислы азота,KG,176
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окислы азота,KG,173
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окислы азота,KG,212
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окислы азота,KG,200
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окислы азота,KG,218
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окислы азота,KG,195
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_090401_1,,Загрязняющие вещества: окислы азота,KG,228
