Year,Статус наблюдения,Множитель,Характер данных,Информация об источнике,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2008,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
2009,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
2010,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
2011,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
2012,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
2013,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
2014,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
2015,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
2016,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
2017,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
2018,Нормальное значение,Единицы,Страновые данные,*according to the MF of the KR,Годовая,Национальный,GB_XPD_RSDV,,PT,0.8
