Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2012,Годовая,Национальный,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",Киргизия,Процент,97.5
2013,Годовая,Национальный,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",Киргизия,Процент,97.6
2014,Годовая,Национальный,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",Киргизия,Процент,97.7
2015,Годовая,Национальный,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",Киргизия,Процент,97.8
2016,Годовая,Национальный,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",Киргизия,Процент,99.0
2017,Годовая,Национальный,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",Киргизия,Процент,99.1
2018,Годовая,Национальный,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",Киргизия,Процент,99.2
2012,Годовая,Национальный,"Доля населения, охваченного, как минимум, 3G мобильной сетью",Киргизия,Процент,46.3
2013,Годовая,Национальный,"Доля населения, охваченного, как минимум, 3G мобильной сетью",Киргизия,Процент,51.0
2014,Годовая,Национальный,"Доля населения, охваченного, как минимум, 3G мобильной сетью",Киргизия,Процент,57.0
2015,Годовая,Национальный,"Доля населения, охваченного, как минимум, 3G мобильной сетью",Киргизия,Процент,59.0
2016,Годовая,Национальный,"Доля населения, охваченного, как минимум, 3G мобильной сетью",Киргизия,Процент,60.0
2017,Годовая,Национальный,"Доля населения, охваченного, как минимум, 3G мобильной сетью",Киргизия,Процент,75.0
2018,Годовая,Национальный,"Доля населения, охваченного, как минимум, 3G мобильной сетью",Киргизия,Процент,88.0
2014,Годовая,Национальный,"Доля населения, охваченного, как минимум, 4G мобильной сетью",Киргизия,Процент,0.5
2015,Годовая,Национальный,"Доля населения, охваченного, как минимум, 4G мобильной сетью",Киргизия,Процент,1.6
2016,Годовая,Национальный,"Доля населения, охваченного, как минимум, 4G мобильной сетью",Киргизия,Процент,40.0
2017,Годовая,Национальный,"Доля населения, охваченного, как минимум, 4G мобильной сетью",Киргизия,Процент,50.0
2018,Годовая,Национальный,"Доля населения, охваченного, как минимум, 4G мобильной сетью",Киргизия,Процент,70.0
