Year,Value,Series
2007,6.1,FB_CBK_BRCH
2008,6.5,FB_CBK_BRCH
2009,6.6,FB_CBK_BRCH
2010,5.7,FB_CBK_BRCH
2011,6.8,FB_CBK_BRCH
2012,7.3,FB_CBK_BRCH
2013,7.4,FB_CBK_BRCH
2014,7.4,FB_CBK_BRCH
2015,7.8,FB_CBK_BRCH
2016,7.9,FB_CBK_BRCH
2017,7.7,FB_CBK_BRCH
2018,7.6,FB_CBK_BRCH
2007,2.5,FB_ATM_TOTL
2008,4.9,FB_ATM_TOTL
2009,8.7,FB_ATM_TOTL
2010,7.6,FB_ATM_TOTL
2011,12.3,FB_ATM_TOTL
2012,160.0,FB_ATM_TOTL
2013,21.1,FB_ATM_TOTL
2014,25.3,FB_ATM_TOTL
2015,30.8,FB_ATM_TOTL
2016,31.9,FB_ATM_TOTL
2017,34.2,FB_ATM_TOTL
2018,37.7,FB_ATM_TOTL
