Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,AGE,URBANISATION,ACTIVITY,Units,Value
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,,PT,23.0
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,,PT,18.3
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,,PT,18.0
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,,PT,15.5
2015,A,0,C,A,N,_L_KG_010201_1A,,M,,,,PT,24.6
2016,A,0,C,A,N,_L_KG_010201_1A,,M,,,,PT,19.7
2017,A,0,C,A,N,_L_KG_010201_1A,,M,,,,PT,20.0
2018,A,0,C,A,N,_L_KG_010201_1A,,M,,,,PT,16.6
2015,A,0,C,A,N,_L_KG_010201_1A,,F,,,,PT,20.6
2016,A,0,C,A,N,_L_KG_010201_1A,,F,,,,PT,16.0
2017,A,0,C,A,N,_L_KG_010201_1A,,F,,,,PT,14.8
2018,A,0,C,A,N,_L_KG_010201_1A,,F,,,,PT,13.6
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y15T19,,,PT,23.7
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y15T19,,,PT,19.0
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y15T19,,,PT,14.7
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y15T19,,,PT,12.6
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y20T24,,,PT,19.9
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y20T24,,,PT,18.0
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y20T24,,,PT,13.9
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y20T24,,,PT,10.7
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y25T29,,,PT,20.9
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y25T29,,,PT,17.5
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y25T29,,,PT,18.5
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y25T29,,,PT,15.8
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y30T34,,,PT,31.9
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y30T34,,,PT,22.5
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y30T34,,,PT,22.9
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y30T34,,,PT,18.4
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y35T39,,,PT,33.4
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y35T39,,,PT,27.6
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y35T39,,,PT,26.4
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y35T39,,,PT,23.4
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y40T44,,,PT,27.5
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y40T44,,,PT,20.1
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y40T44,,,PT,21.8
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y40T44,,,PT,18.5
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y45T49,,,PT,20.3
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y45T49,,,PT,15.1
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y45T49,,,PT,15.3
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y45T49,,,PT,13.5
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y50T54,,,PT,12.4
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y50T54,,,PT,11.3
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y50T54,,,PT,10.8
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y50T54,,,PT,12.5
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y55T59,,,PT,11.4
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y55T59,,,PT,8.4
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y55T59,,,PT,10.3
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y55T59,,,PT,9.5
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y60T64,,,PT,9.4
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y60T64,,,PT,14.2
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y60T64,,,PT,14.3
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y60T64,,,PT,12.0
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y65T69,,,PT,5.3
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y65T69,,,PT,7.6
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y65T69,,,PT,6.2
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y65T69,,,PT,4.8
2015,A,0,C,A,N,_L_KG_010201_1A,,,Y_GE70,,,PT,4.3
2016,A,0,C,A,N,_L_KG_010201_1A,,,Y_GE70,,,PT,13.9
2017,A,0,C,A,N,_L_KG_010201_1A,,,Y_GE70,,,PT,10.6
2018,A,0,C,A,N,_L_KG_010201_1A,,,Y_GE70,,,PT,3.7
2015,A,0,C,A,N,_L_KG_010201_1A,,,,U,,PT,18.1
2016,A,0,C,A,N,_L_KG_010201_1A,,,,U,,PT,11.8
2017,A,0,C,A,N,_L_KG_010201_1A,,,,U,,PT,13.2
2018,A,0,C,A,N,_L_KG_010201_1A,,,,U,,PT,13.0
2015,A,0,C,A,N,_L_KG_010201_1A,,,,R,,PT,25.5
2016,A,0,C,A,N,_L_KG_010201_1A,,,,R,,PT,21.8
2017,A,0,C,A,N,_L_KG_010201_1A,,,,R,,PT,20.7
2018,A,0,C,A,N,_L_KG_010201_1A,,,,R,,PT,16.9
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_A,PT,29.1
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_A,PT,24.5
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_A,PT,22.6
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_A,PT,21.9
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_B,PT,25.7
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_B,PT,17.4
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_B,PT,43.5
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_B,PT,46.5
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_C,PT,20.7
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_C,PT,16.8
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_C,PT,19.3
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_C,PT,13.0
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_D,PT,10.4
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_D,PT,6.7
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_D,PT,16.8
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_D,PT,9.9
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_E,PT,8.8
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_E,PT,11.0
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_E,PT,16.9
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_E,PT,14.4
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_F,PT,30.5
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_F,PT,21.9
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_F,PT,25.2
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_F,PT,18.3
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_G,PT,17.0
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_G,PT,13.9
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_G,PT,12.7
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_G,PT,12.4
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_H,PT,22.3
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_H,PT,20.9
