Year,Frequency of observation,Reporting type,SDG Series,Reference area,Sex,Unit of measure,Value
2007,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,35.0
2008,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,31.7
2009,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,31.7
2010,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,33.7
2011,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,36.8
2012,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,38.0
2013,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,37.0
2014,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,30.6
2015,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,32.1
2016,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,25.4
2017,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,25.6
2018,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Percent,22.4
2007,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,34.7
2008,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,31.4
2009,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,30.7
2010,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,32.7
2011,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,36.1
2012,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,37.2
2013,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,36.5
2014,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,29.7
2015,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,31.5
2016,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,25.0
2017,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,25.0
2018,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Male,Percent,22.5
2007,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,35.4
2008,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,32.1
2009,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,32.9
2010,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,34.8
2011,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,37.6
2012,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,39.0
2013,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,37.5
2014,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,31.5
2015,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,32.7
2016,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,25.7
2017,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,26.3
2018,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,Female,Percent,22.2
2007,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,40.40248
2008,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,20.74156
2009,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,31.472533000000002
2010,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,33.595652
2011,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,35.637925
2012,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,34.235279999999996
2013,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,53.85581
2014,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,40.719691999999995
2015,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,41.156483
2016,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,37.049867
2017,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,40.51893
2018,Annual,National,Proportion of population living below the national poverty line,Batken,,Percent,33.773947
2007,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,41.298196999999995
2008,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,22.400607
2009,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,31.273921
2010,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,31.928278000000002
2011,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,34.181401
2012,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,34.639723
2013,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,53.627067000000004
2014,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,39.011010999999996
2015,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,40.926454
2016,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,36.116547
2017,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,39.60454
2018,Annual,National,Proportion of population living below the national poverty line,Batken,Male,Percent,33.671054
2007,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,39.381264
2008,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,18.757343
2009,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,31.703884999999996
2010,Annual,National,Proportion of population living below the national poverty line,Batken,Female,Percent,35.557934
