Year,Frequency of observation,Reporting type,SDG Series,Reference area,Sex,Age,Degree of urbanisation,Unit of measure,Value
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,,Percent,50.2
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,,Percent,50.5
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,,Percent,45.8
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Male,,,Percent,50.3
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Male,,,Percent,50.3
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Male,,,Percent,45.8
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Female,,,Percent,50.1
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Female,,,Percent,50.6
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Female,,,Percent,45.9
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,under 18 years old,,Percent,59.7
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,under 18 years old,,Percent,60.0
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,under 18 years old,,Percent,56.0
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,65 years old and over,,Percent,49.2
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,65 years old and over,,Percent,46.4
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,65 years old and over,,Percent,38.6
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Urban,Percent,36.9
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Urban,Percent,38.7
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Urban,Percent,33.8
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Rural,Percent,57.4
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Rural,Percent,56.8
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Rural,Percent,52.4
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Batken,,,,Percent,64.9
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Batken,,,,Percent,66.0
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Batken,,,,Percent,64.8
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Jalal-Abad,,,,Percent,59.6
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Jalal-Abad,,,,Percent,61.5
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Jalal-Abad,,,,Percent,53.8
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Issyk-Kul,,,,Percent,45.2
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Issyk-Kul,,,,Percent,47.0
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Issyk-Kul,,,,Percent,42.7
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Naryn,,,,Percent,58.3
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Naryn,,,,Percent,50.0
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Naryn,,,,Percent,48.5
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh,,,,Percent,57.5
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh,,,,Percent,52.1
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh,,,,Percent,58.5
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Talas,,,,Percent,49.8
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Talas,,,,Percent,39.8
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Talas,,,,Percent,43.0
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Chui,,,,Percent,45.4
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Chui,,,,Percent,48.7
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Chui,,,,Percent,28.0
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Bishkek (city),,,,Percent,26.8
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Bishkek (city),,,,Percent,29.9
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Bishkek (city),,,,Percent,25.4
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh (city),,,,Percent,47.3
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh (city),,,,Percent,58.6
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh (city),,,,Percent,51.3
