Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.1
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.6
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.527481
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.608791
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.838101
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,11.043937
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.825698
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.759191
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.746011
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.768411
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.760094
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C6,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.874701
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C2,CL_AREA.KG,CL_UNIT_MEASURE.PT,8.277782
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1C2,CL_AREA.KG,CL_UNIT_MEASURE.PT,6.836681
