Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,313220.0
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,349682.0
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,274008.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,282009.0
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,136292.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,77413.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,180254.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,152940.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,132336.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,142943.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,135927.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G1,CL_AREA.KG,CL_UNIT_MEASURE.PT,138265.0
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.968864
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,6.611241
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.109427
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.204752
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.488161
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,1.394354
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,3.120433
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.594375
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.198462
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.327986
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.172493
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G2,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.163941
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,59.241298
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,61.233202
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,48.534186
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,49.060743
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,22.957535
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,12.62552
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,28.824314
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,24.113102
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,20.458403
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,21.618658
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,20.190277
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010301_1G3,CL_AREA.KG,CL_UNIT_MEASURE.PT,19.898854
