Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG,CL_UNIT_MEASURE.IX,10.810627
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG,CL_UNIT_MEASURE.IX,16.102629
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG,CL_UNIT_MEASURE.IX,20.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG,CL_UNIT_MEASURE.IX,12.4
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG,CL_UNIT_MEASURE.IX,14.10991
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG05,CL_UNIT_MEASURE.IX,34.216964
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG05,CL_UNIT_MEASURE.IX,51.97171
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG05,CL_UNIT_MEASURE.IX,50.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG05,CL_UNIT_MEASURE.IX,44.9
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG05,CL_UNIT_MEASURE.IX,37.375177
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG03,CL_UNIT_MEASURE.IX,30.828434
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG03,CL_UNIT_MEASURE.IX,35.669135
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG03,CL_UNIT_MEASURE.IX,31.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG03,CL_UNIT_MEASURE.IX,28.9
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG03,CL_UNIT_MEASURE.IX,40.75486
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG02,CL_UNIT_MEASURE.IX,-8.771443
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG02,CL_UNIT_MEASURE.IX,19.590714
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1A,CL_AREA.KG02,CL_UNIT_MEASURE.IX,25.6
