Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,Units,Value
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,378
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,336
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,351
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,234
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,342
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,62
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,69
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,72
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,52
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,56
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,323
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,278
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,286
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,196
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,297
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,57
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,65
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,61
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,44
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,53
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,55
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,58
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,65
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,38
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B1,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,45
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,11
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_160501_1B2,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,3
