Year,FREQ,REPORTING_TYPE,Series,REF_AREA,Units,Value
2015,A,N,_L_KG_160602_1A,,IX,235
2016,A,N,_L_KG_160602_1A,,IX,285
2017,A,N,_L_KG_160602_1A,,IX,311
2018,A,N,_L_KG_160602_1A,,IX,273
2019,S,N,_L_KG_160602_1A,,IX,273
2015,A,N,_L_KG_160602_1A,KG05,IX,294
2016,A,N,_L_KG_160602_1A,KG05,IX,479
2017,A,N,_L_KG_160602_1A,KG05,IX,462
2018,A,N,_L_KG_160602_1A,KG05,IX,426
2019,S,N,_L_KG_160602_1A,KG05,IX,400
2015,A,N,_L_KG_160602_1A,KG11,IX,436
2016,A,N,_L_KG_160602_1A,KG11,IX,372
2017,A,N,_L_KG_160602_1A,KG11,IX,354
2018,A,N,_L_KG_160602_1A,KG11,IX,327
2019,S,N,_L_KG_160602_1A,KG11,IX,360
2015,A,N,_L_KG_160602_1A,KG08,IX,-15
2016,A,N,_L_KG_160602_1A,KG08,IX,166
2017,A,N,_L_KG_160602_1A,KG08,IX,295
2018,A,N,_L_KG_160602_1A,KG08,IX,195
2019,S,N,_L_KG_160602_1A,KG08,IX,252
2015,A,N,_L_KG_160602_1A,KG02,IX,206
2016,A,N,_L_KG_160602_1A,KG02,IX,199
2017,A,N,_L_KG_160602_1A,KG02,IX,285
2018,A,N,_L_KG_160602_1A,KG02,IX,307
2019,S,N,_L_KG_160602_1A,KG02,IX,375
2015,A,N,_L_KG_160602_1A,KG03,IX,343
2016,A,N,_L_KG_160602_1A,KG03,IX,309
2017,A,N,_L_KG_160602_1A,KG03,IX,327
2018,A,N,_L_KG_160602_1A,KG03,IX,279
2019,S,N,_L_KG_160602_1A,KG03,IX,307
2015,A,N,_L_KG_160602_1A,KG04,IX,364
2016,A,N,_L_KG_160602_1A,KG04,IX,341
2017,A,N,_L_KG_160602_1A,KG04,IX,312
2018,A,N,_L_KG_160602_1A,KG04,IX,341
2019,S,N,_L_KG_160602_1A,KG04,IX,355
2015,A,N,_L_KG_160602_1A,KG06,IX,314
2016,A,N,_L_KG_160602_1A,KG06,IX,256
2017,A,N,_L_KG_160602_1A,KG06,IX,385
2018,A,N,_L_KG_160602_1A,KG06,IX,355
2019,S,N,_L_KG_160602_1A,KG06,IX,325
2015,A,N,_L_KG_160602_1A,KG21,IX,96
2016,A,N,_L_KG_160602_1A,KG21,IX,126
2017,A,N,_L_KG_160602_1A,KG21,IX,163
2018,A,N,_L_KG_160602_1A,KG21,IX,129
2019,S,N,_L_KG_160602_1A,KG21,IX,113
2015,A,N,_L_KG_160602_1A,KG07,IX,169
2016,A,N,_L_KG_160602_1A,KG07,IX,408
2017,A,N,_L_KG_160602_1A,KG07,IX,429
2018,A,N,_L_KG_160602_1A,KG07,IX,383
2019,S,N,_L_KG_160602_1A,KG07,IX,366
