Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,4.0
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,4.6
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,6.9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,6.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,6.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,6.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,7.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,6.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,7.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,12.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,11.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.DT_TDS_DECT,CL_AREA.KG,CL_UNIT_MEASURE.PT,13.0
