Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Units,Value
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_256KT2M,CL_UNIT_MEASURE.NUMBER,22233
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_256KT2M,CL_UNIT_MEASURE.NUMBER,77877
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_256KT2M,CL_UNIT_MEASURE.NUMBER,105680
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_256KT2M,CL_UNIT_MEASURE.NUMBER,46408
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_256KT2M,CL_UNIT_MEASURE.NUMBER,27317
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_256KT2M,CL_UNIT_MEASURE.NUMBER,27428
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_256KT2M,CL_UNIT_MEASURE.NUMBER,12521
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_2MT10M,CL_UNIT_MEASURE.NUMBER,6530
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_2MT10M,CL_UNIT_MEASURE.NUMBER,43943
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_2MT10M,CL_UNIT_MEASURE.NUMBER,65345
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_2MT10M,CL_UNIT_MEASURE.NUMBER,59374
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_2MT10M,CL_UNIT_MEASURE.NUMBER,91834
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_2MT10M,CL_UNIT_MEASURE.NUMBER,101786
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_2MT10M,CL_UNIT_MEASURE.NUMBER,73099
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_GE10M,CL_UNIT_MEASURE.NUMBER,19351
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_GE10M,CL_UNIT_MEASURE.NUMBER,14065
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_GE10M,CL_UNIT_MEASURE.NUMBER,14032
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_GE10M,CL_UNIT_MEASURE.NUMBER,105739
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_GE10M,CL_UNIT_MEASURE.NUMBER,117068
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_GE10M,CL_UNIT_MEASURE.NUMBER,128799
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_NET_BBNDN,CL_AREA.KG,CL_COMP_BREAKDOWN.IS_GE10M,CL_UNIT_MEASURE.NUMBER,154572
