Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.URBANISATION,Units,Value
2000,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,60.521725
2001,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,77.154938
2002,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,51.354687
2003,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,55.244615
2004,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,48.2
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,49.472402
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,47.554172
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,48.479985
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,45.156055
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,40.667524
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,42.315954
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,44.70876
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,51.004239
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,48.629898
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,47.932099
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,50.982902
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,45.6165
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,50.0267
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,,CL_UNIT_MEASURE.PT,46.4
2000,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,69.472742
2001,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,84.06804
2002,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,67.700173
2003,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,59.23848
2004,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,49.4
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,52.267834
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,46.086276
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,46.663125
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,45.363642
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,38.386768
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,44.47285
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,51.442437
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,60.754126
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,48.726107
