Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.AGE,Units,Value
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,2.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,2.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG05,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,2.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG05,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,2.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG03,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,7.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG03,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,3.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG02,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,1.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG02,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,2.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG04,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,0.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG04,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,1.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG06,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,1.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG06,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,1.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG07,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,1.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG07,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,2.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG08,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,1.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG08,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,1.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG11,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,2.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG11,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,0.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG21,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,2.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WAST,CL_AREA.KG21,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,1.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,7.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,6.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG05,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,3.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG05,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,6.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG03,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,8.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG03,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,8.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG02,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,7.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG02,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,4.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG04,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,6.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG04,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,4.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG06,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,4.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG06,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,5.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG07,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,7.3
