Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.089219
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.06383
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.079787
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.068571
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.060241
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.048193
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.068493
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.061224
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.078571
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.078125
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.072
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.AG_PRD_ORTIND,CL_AREA.KG,CL_UNIT_MEASURE.IX,0.094
