Year,FREQ,REPORTING_TYPE,Series,REF_AREA,Units,Value
2007,A,N,_L_KG_020C01_1B,KG,PT,131.547158
2008,A,N,_L_KG_020C01_1B,KG,PT,120.91338700000001
2009,A,N,_L_KG_020C01_1B,KG,PT,92.62833499999999
2010,A,N,_L_KG_020C01_1B,KG,PT,127.019995
2011,A,N,_L_KG_020C01_1B,KG,PT,103.48574599999999
2012,A,N,_L_KG_020C01_1B,KG,PT,104.494474
2013,A,N,_L_KG_020C01_1B,KG,PT,101.769602
2014,A,N,_L_KG_020C01_1B,KG,PT,113.85708100000001
2015,A,N,_L_KG_020C01_1B,KG,PT,95.794976
2016,A,N,_L_KG_020C01_1B,KG,PT,94.980194
2017,A,N,_L_KG_020C01_1B,KG,PT,102.713332
2018,A,N,_L_KG_020C01_1B,KG,PT,97.39431400000001
2007,A,N,_L_KG_020C01_1B,KG05,PT,129.740223
2008,A,N,_L_KG_020C01_1B,KG05,PT,122.152556
2009,A,N,_L_KG_020C01_1B,KG05,PT,98.079552
2010,A,N,_L_KG_020C01_1B,KG05,PT,134.872599
2011,A,N,_L_KG_020C01_1B,KG05,PT,108.14326100000001
2012,A,N,_L_KG_020C01_1B,KG05,PT,104.669453
2013,A,N,_L_KG_020C01_1B,KG05,PT,103.067841
2014,A,N,_L_KG_020C01_1B,KG05,PT,113.826871
2015,A,N,_L_KG_020C01_1B,KG05,PT,92.841081
2016,A,N,_L_KG_020C01_1B,KG05,PT,95.51629100000001
2017,A,N,_L_KG_020C01_1B,KG05,PT,104.58757800000001
2018,A,N,_L_KG_020C01_1B,KG05,PT,94.575897
2007,A,N,_L_KG_020C01_1B,KG03,PT,131.47464399999998
2008,A,N,_L_KG_020C01_1B,KG03,PT,133.10877299999999
2009,A,N,_L_KG_020C01_1B,KG03,PT,94.285732
2010,A,N,_L_KG_020C01_1B,KG03,PT,133.48734
2011,A,N,_L_KG_020C01_1B,KG03,PT,105.19525
2012,A,N,_L_KG_020C01_1B,KG03,PT,104.995426
2013,A,N,_L_KG_020C01_1B,KG03,PT,103.702848
