Year,FREQ,REPORTING_TYPE,Series,REF_AREA,AGE,Units,Value
2007,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,21.062708999999998
2008,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,19.633713
2009,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,18.141025
2010,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,16.397145000000002
2011,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,15.346363
2012,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,14.627092999999999
2013,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,14.891975
2014,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,15.641511999999999
2015,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,13.997993
2016,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,12.670713000000001
2017,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,11.795339
2018,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,12.0
2007,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,20.020582
2008,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,20.371252
2009,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,17.752959
2010,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,17.905103
2011,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,15.911964000000001
2012,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,13.333332999999998
2013,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,13.29229
2014,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,12.498302
2015,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,11.21983
2016,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,10.61082
2017,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,10.611457000000001
2018,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,9.3
2007,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,17.491993
2008,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,13.828495000000002
2009,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,13.109231
2010,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,11.41671
2011,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,11.64604
2012,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,11.539978999999999
2013,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,13.183481
2014,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,14.415326
2015,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,12.659814
2016,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,11.493097
2017,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,9.918574000000001
2018,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,10.2
2007,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,17.433752
2008,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,18.44146
2009,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,16.389014000000003
2010,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,15.933098999999999
2011,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,16.267429
2012,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,14.75265
2013,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,11.261052000000001
2014,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,9.306183
2015,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,12.182109
2016,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,8.420139
2017,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,9.423503
2018,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,8.5
2007,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,17.912773
2008,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,16.943931
2009,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,14.464366
2010,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,12.251149
2011,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,10.273497
