Year,FREQ,REPORTING_TYPE,Series,REF_AREA,Units,Value
2007,A,N,SH_STA_MALR,KG,PER_1000_POP,0.018437000000000002
2008,A,N,SH_STA_MALR,KG,PER_1000_POP,0.003428
2009,A,N,SH_STA_MALR,KG,PER_1000_POP,0.000743
2010,A,N,SH_STA_MALR,KG,PER_1000_POP,0.000367
2011,A,N,SH_STA_MALR,KG,PER_1000_POP,0.007979
2012,A,N,SH_STA_MALR,KG,PER_1000_POP,0.000535
2013,A,N,SH_STA_MALR,KG,PER_1000_POP,0.000699
2015,A,N,SH_STA_MALR,KG,PER_1000_POP,0.000168
2016,A,N,SH_STA_MALR,KG,PER_1000_POP,0.000987
2017,A,N,SH_STA_MALR,KG,PER_1000_POP,0.000323
2018,A,N,SH_STA_MALR,KG,PER_1000_POP,0.00015800000000000002
2007,A,N,SH_STA_MALR,KG05,PER_1000_POP,0.051815999999999994
2008,A,N,SH_STA_MALR,KG05,PER_1000_POP,0.004667
2009,A,N,SH_STA_MALR,KG05,PER_1000_POP,0.0069689999999999995
2007,A,N,SH_STA_MALR,KG03,PER_1000_POP,0.006141
2008,A,N,SH_STA_MALR,KG03,PER_1000_POP,0.001013
2009,A,N,SH_STA_MALR,KG03,PER_1000_POP,0.000985
2010,A,N,SH_STA_MALR,KG03,PER_1000_POP,0.0019420000000000001
2007,A,N,SH_STA_MALR,KG02,PER_1000_POP,0.0
2008,A,N,SH_STA_MALR,KG02,PER_1000_POP,0.0
2012,A,N,SH_STA_MALR,KG02,PER_1000_POP,0.002219
2007,A,N,SH_STA_MALR,KG04,PER_1000_POP,0.003714
2008,A,N,SH_STA_MALR,KG04,PER_1000_POP,0.0036950000000000004
2008,A,N,SH_STA_MALR,KG06,PER_1000_POP,0.0
2011,A,N,SH_STA_MALR,KG06,PER_1000_POP,0.000878
2007,A,N,SH_STA_MALR,KG07,PER_1000_POP,0.0
2008,A,N,SH_STA_MALR,KG07,PER_1000_POP,0.0
2007,A,N,SH_STA_MALR,KG08,PER_1000_POP,0.031648
2008,A,N,SH_STA_MALR,KG08,PER_1000_POP,0.005255
2012,A,N,SH_STA_MALR,KG08,PER_1000_POP,0.001204
2016,A,N,SH_STA_MALR,KG08,PER_1000_POP,0.001116
2017,A,N,SH_STA_MALR,KG08,PER_1000_POP,0.0
2018,A,N,SH_STA_MALR,KG08,PER_1000_POP,0.001074
2007,A,N,SH_STA_MALR,KG11,PER_1000_POP,0.051835
2008,A,N,SH_STA_MALR,KG11,PER_1000_POP,0.012209999999999999
2011,A,N,SH_STA_MALR,KG11,PER_1000_POP,0.047285
2012,A,N,SH_STA_MALR,KG11,PER_1000_POP,0.001131
2013,A,N,SH_STA_MALR,KG11,PER_1000_POP,0.004419
2015,A,N,SH_STA_MALR,KG11,PER_1000_POP,0.0010550000000000002
2016,A,N,SH_STA_MALR,KG11,PER_1000_POP,0.003095
2017,A,N,SH_STA_MALR,KG11,PER_1000_POP,0.002018
2007,A,N,SH_STA_MALR,KG21,PER_1000_POP,0.004004
2008,A,N,SH_STA_MALR,KG21,PER_1000_POP,0.0
2016,A,N,SH_STA_MALR,KG21,PER_1000_POP,0.0071730000000000006
2017,A,N,SH_STA_MALR,KG21,PER_1000_POP,0.0
