Year,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,Units,Value
2007,A,N,SH_HAP_HBSAG,,,PER_100000_POP,12.090992
2008,A,N,SH_HAP_HBSAG,,,PER_100000_POP,10.585236
2009,A,N,SH_HAP_HBSAG,,,PER_100000_POP,10.866987
2010,A,N,SH_HAP_HBSAG,,,PER_100000_POP,9.159392
2011,A,N,SH_HAP_HBSAG,,,PER_100000_POP,9.955113
2012,A,N,SH_HAP_HBSAG,,,PER_100000_POP,10.075772
2013,A,N,SH_HAP_HBSAG,,,PER_100000_POP,8.0
2014,A,N,SH_HAP_HBSAG,,,PER_100000_POP,7.5
2015,A,N,SH_HAP_HBSAG,,,PER_100000_POP,5.9
2016,A,N,SH_HAP_HBSAG,,,PER_100000_POP,6.0
2017,A,N,SH_HAP_HBSAG,,,PER_100000_POP,5.3
2018,A,N,SH_HAP_HBSAG,,,PER_100000_POP,5.139872
2007,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,10.263860000000001
2008,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,8.088592
2009,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,7.22507
2010,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,6.597241
2011,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,7.700463
2012,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,7.084345
2013,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,6.4
2014,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,5.5
2015,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,4.2
2016,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,4.5
2017,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,4.3
2018,A,N,SH_HAP_HBSAG,,F,PER_100000_POP,3.5452199999999996
2007,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,13.967856
2008,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,13.149996
2009,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,14.604804999999999
2010,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,11.787756
2011,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,12.267172
2012,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,13.139517999999999
2013,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,9.5
2014,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,9.5
2015,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,7.5
2016,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,7.5
2017,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,6.2
2018,A,N,SH_HAP_HBSAG,,M,PER_100000_POP,6.760797
2007,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,20.180532999999997
2008,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,20.012808
2009,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,11.615832000000001
2010,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,4.57193
2011,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,11.68605
2012,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,8.592769
2013,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,7.1
2014,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,5.7
2015,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,4.9
2016,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,8.6
2017,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,2.6
2018,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,3.080721
2007,A,N,SH_HAP_HBSAG,KG05,F,PER_100000_POP,18.345435000000002
2008,A,N,SH_HAP_HBSAG,KG05,F,PER_100000_POP,17.247244
