Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,15
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,19
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,13
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,10
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,11
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,,CL_UNIT_MEASURE.PER_100000_POP,8
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,9
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,14
