Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.COMPOSITE_BREAKDOWN,Units,Value
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,2331
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,2083
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,2050
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1833
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1813
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,2178
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,2406
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1920
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1708
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1453
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1254
