Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,Units,Value
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,78.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,71.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG05,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,81.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG05,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,83.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG03,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,87.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG03,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,63.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG02,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,81.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG02,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,79.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG04,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,80.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG04,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,72.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG06,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,69.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG06,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,65.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG07,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,84.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG07,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,65.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG08,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,73.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG08,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,72.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG11,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,87.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG11,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,81.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG21,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,52.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG21,,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,71.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,CL_SEX.M,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,76.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,CL_SEX.M,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,68.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,CL_SEX.F,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,80.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,CL_SEX.F,CL_AGE.Y0T4,,,CL_UNIT_MEASURE.PT,75.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_2,CL_UNIT_MEASURE.PT,70.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_2,CL_UNIT_MEASURE.PT,71.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_3,CL_UNIT_MEASURE.PT,77.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_3,CL_UNIT_MEASURE.PT,73.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_4,CL_UNIT_MEASURE.PT,80.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_4,CL_UNIT_MEASURE.PT,70.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,81.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,69.6
