Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.AGE,concept.URBANISATION,Units,Value
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,17.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,19.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,19.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,22.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,23.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,24.6
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,25.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,31.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,32.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,31.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,32.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,34.2
