Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.EDUCATION_LEV,Units,Value
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,9.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,9.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,9.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,9.5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,10.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,10.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,10.1
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,10.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,5.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,6.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,5.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,5.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,6.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,6.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,6.2
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,6.2
