Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.EDUCATION_LEV,Units,Value
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.NUMBER,1432
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.NUMBER,1551
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.NUMBER,1272
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.NUMBER,1236
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.NUMBER,891
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.NUMBER,766
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,2544
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,2663
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,5189
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,4961
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,4754
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,5106
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,1244
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,1347
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,1873
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,1785
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,3050
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,1380
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,1300
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,1316
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,3316
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,3176
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,1704
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.NUMBER,3722
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,12291
