Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Units,Value
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_RU,CL_UNIT_MEASURE.NUMBER,465
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_RU,CL_UNIT_MEASURE.NUMBER,445
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_RU,CL_UNIT_MEASURE.NUMBER,360
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_RU,CL_UNIT_MEASURE.NUMBER,364
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_RU,CL_UNIT_MEASURE.NUMBER,347
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_RU,CL_UNIT_MEASURE.NUMBER,330
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_BY,CL_UNIT_MEASURE.NUMBER,3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_BY,CL_UNIT_MEASURE.NUMBER,5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_BY,CL_UNIT_MEASURE.NUMBER,2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_BY,CL_UNIT_MEASURE.NUMBER,5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_BY,CL_UNIT_MEASURE.NUMBER,2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_KZ,CL_UNIT_MEASURE.NUMBER,1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_KZ,CL_UNIT_MEASURE.NUMBER,5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_KZ,CL_UNIT_MEASURE.NUMBER,5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_KZ,CL_UNIT_MEASURE.NUMBER,5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_KZ,CL_UNIT_MEASURE.NUMBER,5
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_KZ,CL_UNIT_MEASURE.NUMBER,3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_TJ,CL_UNIT_MEASURE.NUMBER,50
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_TJ,CL_UNIT_MEASURE.NUMBER,47
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_TJ,CL_UNIT_MEASURE.NUMBER,44
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_TJ,CL_UNIT_MEASURE.NUMBER,21
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_TJ,CL_UNIT_MEASURE.NUMBER,33
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_CN,CL_UNIT_MEASURE.NUMBER,0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_CN,CL_UNIT_MEASURE.NUMBER,0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_CN,CL_UNIT_MEASURE.NUMBER,0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_CN,CL_UNIT_MEASURE.NUMBER,25
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_CN,CL_UNIT_MEASURE.NUMBER,15
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_CN,CL_UNIT_MEASURE.NUMBER,27
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_HU,CL_UNIT_MEASURE.NUMBER,0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_HU,CL_UNIT_MEASURE.NUMBER,0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_HU,CL_UNIT_MEASURE.NUMBER,0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_HU,CL_UNIT_MEASURE.NUMBER,23
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_HU,CL_UNIT_MEASURE.NUMBER,27
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040B01_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_CNT_HU,CL_UNIT_MEASURE.NUMBER,67
