Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,Units,Value
2010,A,0,C,A,N,_L_KG_050201_1A1,,F,NUMBER,1308
2011,A,0,C,A,N,_L_KG_050201_1A1,,F,NUMBER,1453
2012,A,0,C,A,N,_L_KG_050201_1A1,,F,NUMBER,1900
2013,A,0,C,A,N,_L_KG_050201_1A1,,F,NUMBER,1589
2014,A,0,C,A,N,_L_KG_050201_1A1,,F,NUMBER,1988
2015,A,0,C,A,N,_L_KG_050201_1A1,,F,NUMBER,936
2016,A,0,C,A,N,_L_KG_050201_1A1,,F,NUMBER,1172
2017,A,0,C,A,N,_L_KG_050201_1A1,,F,NUMBER,1382
2018,A,0,C,A,N,_L_KG_050201_1A1,,F,NUMBER,1305
2010,A,0,C,A,N,_L_KG_050201_1A2,,F,NUMBER,68
2011,A,0,C,A,N,_L_KG_050201_1A2,,F,NUMBER,155
2012,A,0,C,A,N,_L_KG_050201_1A2,,F,NUMBER,16
2013,A,0,C,A,N,_L_KG_050201_1A2,,F,NUMBER,48
2014,A,0,C,A,N,_L_KG_050201_1A2,,F,NUMBER,35
2015,A,0,C,A,N,_L_KG_050201_1A2,,F,NUMBER,12
2016,A,0,C,A,N,_L_KG_050201_1A2,,F,NUMBER,2
2017,A,0,C,A,N,_L_KG_050201_1A2,,F,NUMBER,1
2010,A,0,C,A,N,_L_KG_050201_1A3,,F,NUMBER,401
2011,A,0,C,A,N,_L_KG_050201_1A3,,F,NUMBER,581
2012,A,0,C,A,N,_L_KG_050201_1A3,,F,NUMBER,509
2013,A,0,C,A,N,_L_KG_050201_1A3,,F,NUMBER,508
2014,A,0,C,A,N,_L_KG_050201_1A3,,F,NUMBER,495
2015,A,0,C,A,N,_L_KG_050201_1A3,,F,NUMBER,666
2016,A,0,C,A,N,_L_KG_050201_1A3,,F,NUMBER,657
2017,A,0,C,A,N,_L_KG_050201_1A3,,F,NUMBER,629
2018,A,0,C,A,N,_L_KG_050201_1A3,,F,NUMBER,555
2010,A,0,C,A,N,_L_KG_050201_1A4,,F,NUMBER,414
2011,A,0,C,A,N,_L_KG_050201_1A4,,F,NUMBER,320
2012,A,0,C,A,N,_L_KG_050201_1A4,,F,NUMBER,498
2013,A,0,C,A,N,_L_KG_050201_1A4,,F,NUMBER,822
2014,A,0,C,A,N,_L_KG_050201_1A4,,F,NUMBER,570
2015,A,0,C,A,N,_L_KG_050201_1A4,,F,NUMBER,485
2016,A,0,C,A,N,_L_KG_050201_1A4,,F,NUMBER,372
2017,A,0,C,A,N,_L_KG_050201_1A4,,F,NUMBER,176
2018,A,0,C,A,N,_L_KG_050201_1A4,,F,NUMBER,47
2010,A,0,C,A,N,_L_KG_050201_1A5,,F,NUMBER,445
2011,A,0,C,A,N,_L_KG_050201_1A5,,F,NUMBER,491
2012,A,0,C,A,N,_L_KG_050201_1A5,,F,NUMBER,504
2013,A,0,C,A,N,_L_KG_050201_1A5,,F,NUMBER,600
2014,A,0,C,A,N,_L_KG_050201_1A5,,F,NUMBER,731
2015,A,0,C,A,N,_L_KG_050201_1A5,,F,NUMBER,1896
2016,A,0,C,A,N,_L_KG_050201_1A5,,F,NUMBER,1404
2017,A,0,C,A,N,_L_KG_050201_1A5,,F,NUMBER,1084
2018,A,0,C,A,N,_L_KG_050201_1A5,,F,NUMBER,970
