Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,25.6
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,25.6
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,25.6
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,23.5
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,20.8
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,20.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,22.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,21.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,21.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,15.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,16.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SG_GEN_PARL,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,15.8
