Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.URBANISATION,Units,Value
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,,CL_UNIT_MEASURE.PT,99.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,99.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,99.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG05,CL_SEX.F,CL_AGE.Y15T49,,CL_UNIT_MEASURE.PT,99.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG03,CL_SEX.F,CL_AGE.Y15T49,,CL_UNIT_MEASURE.PT,99.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG02,CL_SEX.F,CL_AGE.Y15T49,,CL_UNIT_MEASURE.PT,100.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG04,CL_SEX.F,CL_AGE.Y15T49,,CL_UNIT_MEASURE.PT,99.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG06,CL_SEX.F,CL_AGE.Y15T49,,CL_UNIT_MEASURE.PT,99.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG07,CL_SEX.F,CL_AGE.Y15T49,,CL_UNIT_MEASURE.PT,100.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG08,CL_SEX.F,CL_AGE.Y15T49,,CL_UNIT_MEASURE.PT,99.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG11,CL_SEX.F,CL_AGE.Y15T49,,CL_UNIT_MEASURE.PT,99.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_050601_1,CL_AREA.KG21,CL_SEX.F,CL_AGE.Y15T49,,CL_UNIT_MEASURE.PT,99.5
