Year,Frequency of observation,Reporting type,Series,Reference area,Degree of urbanisation,Units,Value
2011,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,92.4
2012,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,93.2
2013,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,89.6
2014,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,88.9
2015,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,89.1
2016,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,89.9
2017,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,91.1
2018,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,91.8
2011,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.7
2012,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.8
2013,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.5
2014,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.1
2015,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.1
2016,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.3
2017,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,93.9
2018,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.3
2011,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,88.0
2012,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,89.4
2013,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,84.4
2014,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,83.3
2015,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,83.7
2016,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,84.9
2017,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,86.7
2018,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,87.8
2011,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,69.7
2012,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,70.0
2013,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,73.1
2014,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,74.3
2015,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,73.3
2016,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,74.1
2017,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,79.0
2018,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,83.6
2011,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,95.4
2012,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,96.0
2013,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,91.6
2014,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,89.5
2015,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,87.7
2016,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,87.3
2017,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,91.2
2018,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,86.4
2011,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,99.0
2012,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,99.0
2013,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,93.7
2014,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,96.8
2015,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,96.4
2016,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,97.3
2017,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,97.0
2018,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,96.0
2011,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,89.2
2012,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,89.1
2013,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,86.8
2014,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,84.4
2015,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,90.3
2016,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,95.9
2017,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,95.8
2018,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,96.3
