Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,Units,Value
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,,,CL_UNIT_MEASURE.PT,96.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,CL_URBANISATION.U,,,CL_UNIT_MEASURE.PT,96.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,CL_URBANISATION.R,,,CL_UNIT_MEASURE.PT,96.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG05,,,,CL_UNIT_MEASURE.PT,99.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG03,,,,CL_UNIT_MEASURE.PT,93.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG02,,,,CL_UNIT_MEASURE.PT,99.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG04,,,,CL_UNIT_MEASURE.PT,99.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG06,,,,CL_UNIT_MEASURE.PT,99.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG07,,,,CL_UNIT_MEASURE.PT,99.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG08,,,,CL_UNIT_MEASURE.PT,91.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG11,,,,CL_UNIT_MEASURE.PT,95.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG21,,,,CL_UNIT_MEASURE.PT,96.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,,CL_EDUCATION_LEV.ISCED11_1,CL_UNIT_MEASURE.PT,92.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,,CL_EDUCATION_LEV.ISCED11_2,CL_UNIT_MEASURE.PT,94.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,,CL_EDUCATION_LEV.ISCED11_3,CL_UNIT_MEASURE.PT,97.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,,CL_EDUCATION_LEV.ISCED11_4,CL_UNIT_MEASURE.PT,96.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,95.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,CL_QUANTILE.Q1,,CL_UNIT_MEASURE.PT,97.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,CL_QUANTILE.Q2,,CL_UNIT_MEASURE.PT,95.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,CL_QUANTILE.Q3,,CL_UNIT_MEASURE.PT,96.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,CL_QUANTILE.Q4,,CL_UNIT_MEASURE.PT,96.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_SAN_SAFE,CL_AREA.KG,,CL_QUANTILE.Q5,,CL_UNIT_MEASURE.PT,95.7
