Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Units,Value
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,,CL_UNIT_MEASURE.M_M3_PER_YR,7562.0
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,,CL_UNIT_MEASURE.M_M3_PER_YR,8634.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,,CL_UNIT_MEASURE.M_M3_PER_YR,9544.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,,CL_UNIT_MEASURE.M_M3_PER_YR,8326.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,,CL_UNIT_MEASURE.M_M3_PER_YR,7658.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,,CL_UNIT_MEASURE.M_M3_PER_YR,7569.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,,CL_UNIT_MEASURE.M_M3_PER_YR,7333.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,,CL_UNIT_MEASURE.M_M3_PER_YR,7657.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,,CL_UNIT_MEASURE.M_M3_PER_YR,7758.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_NATURAL,CL_UNIT_MEASURE.M_M3_PER_YR,9319.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_NATURAL,CL_UNIT_MEASURE.M_M3_PER_YR,8218.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_NATURAL,CL_UNIT_MEASURE.M_M3_PER_YR,7432.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_NATURAL,CL_UNIT_MEASURE.M_M3_PER_YR,7225.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_NATURAL,CL_UNIT_MEASURE.M_M3_PER_YR,7125.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_NATURAL,CL_UNIT_MEASURE.M_M3_PER_YR,7433.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_NATURAL,CL_UNIT_MEASURE.M_M3_PER_YR,7513.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_AQUIFER,CL_UNIT_MEASURE.M_M3_PER_YR,324.1
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_AQUIFER,CL_UNIT_MEASURE.M_M3_PER_YR,201.3
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_AQUIFER,CL_UNIT_MEASURE.M_M3_PER_YR,224.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_AQUIFER,CL_UNIT_MEASURE.M_M3_PER_YR,107.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_AQUIFER,CL_UNIT_MEASURE.M_M3_PER_YR,225.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_AQUIFER,CL_UNIT_MEASURE.M_M3_PER_YR,343.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_AQUIFER,CL_UNIT_MEASURE.M_M3_PER_YR,208.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_AQUIFER,CL_UNIT_MEASURE.M_M3_PER_YR,224.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG,CL_COMP_BREAKDOWN._L_WS_AQUIFER,CL_UNIT_MEASURE.M_M3_PER_YR,245.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,577.7
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,586.7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,570.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,967.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,615.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,643.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,645.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,632.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,647.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,695.2
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,1197.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,716.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,716.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,781.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,985.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,948.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,936.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,926.6
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,555.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,905.6
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,966.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,628.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,628.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,578.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,524.6
