Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,78.2
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,54.3
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,48.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,45.5
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,42.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,35.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,31.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,26.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,26.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,22.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,25.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070301_1,CL_AREA.KG,CL_UNIT_MEASURE._L_TCE_MN_KGS,25.5
