Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070B01_1A,CL_AREA.KG,CL_UNIT_MEASURE.PT,6
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070B01_1A,CL_AREA.KG,CL_UNIT_MEASURE.PT,100
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070B01_1A,CL_AREA.KG,CL_UNIT_MEASURE.PT,3
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070B01_1A,CL_AREA.KG,CL_UNIT_MEASURE.PT,3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070B01_1A,CL_AREA.KG,CL_UNIT_MEASURE.PT,1700
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070B01_1A,CL_AREA.KG,CL_UNIT_MEASURE.PT,800
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070B01_1A,CL_AREA.KG,CL_UNIT_MEASURE.PT,1000
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070B01_1A,CL_AREA.KG,CL_UNIT_MEASURE.PT,30
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070B01_1A,CL_AREA.KG,CL_UNIT_MEASURE.PT,100
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_070B01_1A,CL_AREA.KG,CL_UNIT_MEASURE.PT,0
