Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,Series,REF_AREA,AGE,Units,Value
2007,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,6.1
2008,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,6.5
2009,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,6.6
2010,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,5.7
2011,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,6.8
2012,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,7.3
2013,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,7.4
2014,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,7.4
2015,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,7.8
2016,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,7.9
2017,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,7.7
2018,A,0,C,*according to the NBKR,A,N,FB_CBK_BRCH,,Y_GE16,PER_100000_POP,7.6
2007,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,2.5
2008,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,4.9
2009,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,8.7
2010,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,7.6
2011,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,12.3
2012,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,160.0
2013,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,21.1
2014,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,25.3
2015,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,30.8
2016,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,31.9
2017,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,34.2
2018,A,0,C,*according to the NBKR,A,N,FB_ATM_TOTL,,Y_GE16,PER_100000_POP,37.7
