Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Degree of urbanisation,Education level,Units,Value
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,,Percent,24.4
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,Urban,,Percent,28.1
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,Rural,,Percent,22.2
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,Male,,,Percent,23.4
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,Female,,,Percent,25.2
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Batken,,,,Percent,11.9
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Jalal-Abad,,,,Percent,13.1
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Issyk-Kul,,,,Percent,8.8
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Naryn,,,,Percent,35.3
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Osh,,,,Percent,30.7
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Talas,,,,Percent,18.4
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Chui,,,,Percent,35.9
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Bishkek (city),,,,Percent,30.8
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Osh (city),,,,Percent,23.3
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,Primary education,Percent,17.0
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,Lower secondary education,Percent,10.8
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,Upper secondary education,Percent,18.2
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,Post-secondary non-tertiary education,Percent,32.1
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,Short-cycle tertiary education,Percent,44.1
