Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,Series,REF_AREA,Units,Value
2007,A,0,C,A,N,SL_EMP_PCAP,,PT,106.9
2008,A,0,C,A,N,SL_EMP_PCAP,,PT,108.3
2009,A,0,C,A,N,SL_EMP_PCAP,,PT,102.4
2010,A,0,C,A,N,SL_EMP_PCAP,,PT,98.4
2011,A,0,C,A,N,SL_EMP_PCAP,,PT,104.3
2012,A,0,C,A,N,SL_EMP_PCAP,,PT,98.8
2013,A,0,C,A,N,SL_EMP_PCAP,,PT,111.3
2014,A,0,C,A,N,SL_EMP_PCAP,,PT,101.4
2015,A,0,C,A,N,SL_EMP_PCAP,,PT,101.8
2016,A,0,C,A,N,SL_EMP_PCAP,,PT,105.7
2017,A,0,C,A,N,SL_EMP_PCAP,,PT,105.4
2018,A,0,C,A,N,SL_EMP_PCAP,,PT,103.6
