Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,Units,Value
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,,CL_UNIT_MEASURE.PT,8.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,,CL_UNIT_MEASURE.PT,8.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,,CL_UNIT_MEASURE.PT,8.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,,CL_UNIT_MEASURE.PT,7.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,,CL_UNIT_MEASURE.PT,7.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,,CL_UNIT_MEASURE.PT,6.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,,CL_UNIT_MEASURE.PT,6.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.M,,CL_UNIT_MEASURE.PT,8.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.M,,CL_UNIT_MEASURE.PT,8.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.M,,CL_UNIT_MEASURE.PT,6.9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.F,,CL_UNIT_MEASURE.PT,5.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,CL_SEX.F,,CL_UNIT_MEASURE.PT,5.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,,,CL_UNIT_MEASURE.PT,10.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,,,CL_UNIT_MEASURE.PT,12.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,,,CL_UNIT_MEASURE.PT,12.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,,,CL_UNIT_MEASURE.PT,10.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,,,CL_UNIT_MEASURE.PT,10.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,,,CL_UNIT_MEASURE.PT,9.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,,,CL_UNIT_MEASURE.PT,9.0
