Year,SERIES,REF_AREA,SEX,Value
2007,SL_EMP_INJUR,KG,,27.716013
2008,SL_EMP_INJUR,KG,,32.316212
2009,SL_EMP_INJUR,KG,,24.233586
2010,SL_EMP_INJUR,KG,,90.112821
2011,SL_EMP_INJUR,KG,,27.924874
2012,SL_EMP_INJUR,KG,,27.025060999999997
2013,SL_EMP_INJUR,KG,,38.431743
2014,SL_EMP_INJUR,KG,,29.216361
2015,SL_EMP_INJUR,KG,,22.079153
2016,SL_EMP_INJUR,KG,,24.463597
2017,SL_EMP_INJUR,KG,,17.014573000000002
2018,SL_EMP_INJUR,KG,,25.028299
2007,SL_EMP_INJUR,KG,F,15.549076999999999
2008,SL_EMP_INJUR,KG,F,13.157948999999999
2009,SL_EMP_INJUR,KG,F,10.590847
2010,SL_EMP_INJUR,KG,F,19.815058999999998
2011,SL_EMP_INJUR,KG,F,10.078654
2012,SL_EMP_INJUR,KG,F,12.820667
2013,SL_EMP_INJUR,KG,F,16.056764
2014,SL_EMP_INJUR,KG,F,15.507042000000002
2015,SL_EMP_INJUR,KG,F,8.391925
2016,SL_EMP_INJUR,KG,F,16.384907000000002
2017,SL_EMP_INJUR,KG,F,13.60476
2018,SL_EMP_INJUR,KG,F,14.914401999999999
2007,SL_EMP_INJUR,KG,M,41.775785
2008,SL_EMP_INJUR,KG,M,52.283772
2009,SL_EMP_INJUR,KG,M,38.855636
2010,SL_EMP_INJUR,KG,M,164.348209
2011,SL_EMP_INJUR,KG,M,46.448956
2012,SL_EMP_INJUR,KG,M,42.343954
2013,SL_EMP_INJUR,KG,M,63.293020999999996
2014,SL_EMP_INJUR,KG,M,44.619333000000005
2015,SL_EMP_INJUR,KG,M,37.859348
2016,SL_EMP_INJUR,KG,M,33.692721999999996
2017,SL_EMP_INJUR,KG,M,20.921618
2018,SL_EMP_INJUR,KG,M,36.61573
2007,SL_EMP_INJUR,KG05,,11.184431
2008,SL_EMP_INJUR,KG05,,52.931596
2009,SL_EMP_INJUR,KG05,,25.97515
2010,SL_EMP_INJUR,KG05,,66.960769
2011,SL_EMP_INJUR,KG05,,44.998269
2012,SL_EMP_INJUR,KG05,,44.855428
2013,SL_EMP_INJUR,KG05,,40.545177
2014,SL_EMP_INJUR,KG05,,60.180542
2015,SL_EMP_INJUR,KG05,,5.901968
2016,SL_EMP_INJUR,KG05,,11.837822000000001
2017,SL_EMP_INJUR,KG05,,16.899028
2018,SL_EMP_INJUR,KG05,,14.249885999999998
2010,SL_EMP_INJUR,KG05,F,8.934954
2012,SL_EMP_INJUR,KG05,F,14.155282999999999
2016,SL_EMP_INJUR,KG05,F,5.608525
2007,SL_EMP_INJUR,KG05,M,21.335608999999998
2008,SL_EMP_INJUR,KG05,M,93.47138299999999
2009,SL_EMP_INJUR,KG05,M,49.829747999999995
2010,SL_EMP_INJUR,KG05,M,112.70780500000001
2011,SL_EMP_INJUR,KG05,M,86.672445
2012,SL_EMP_INJUR,KG05,M,74.059113
2013,SL_EMP_INJUR,KG05,M,76.587722
2014,SL_EMP_INJUR,KG05,M,131.373162
2015,SL_EMP_INJUR,KG05,M,12.854297
2016,SL_EMP_INJUR,KG05,M,18.796992000000003
2017,SL_EMP_INJUR,KG05,M,37.225462
2018,SL_EMP_INJUR,KG05,M,32.427524
2007,SL_EMP_INJUR,KG03,,57.34356
2008,SL_EMP_INJUR,KG03,,34.763683
2009,SL_EMP_INJUR,KG03,,46.934978
2010,SL_EMP_INJUR,KG03,,41.297740000000005
2011,SL_EMP_INJUR,KG03,,34.63367
2012,SL_EMP_INJUR,KG03,,32.200193
2013,SL_EMP_INJUR,KG03,,35.998247
2014,SL_EMP_INJUR,KG03,,22.677108
2015,SL_EMP_INJUR,KG03,,20.820610000000002
2016,SL_EMP_INJUR,KG03,,26.515573999999997
2017,SL_EMP_INJUR,KG03,,14.554885
2018,SL_EMP_INJUR,KG03,,46.098729999999996
2007,SL_EMP_INJUR,KG03,F,13.387777
2008,SL_EMP_INJUR,KG03,F,2.896032
2009,SL_EMP_INJUR,KG03,F,6.402868
2010,SL_EMP_INJUR,KG03,F,3.165859
2012,SL_EMP_INJUR,KG03,F,5.598477
2013,SL_EMP_INJUR,KG03,F,2.833263
2014,SL_EMP_INJUR,KG03,F,5.61782
2015,SL_EMP_INJUR,KG03,F,2.531197
2016,SL_EMP_INJUR,KG03,F,10.194459
2017,SL_EMP_INJUR,KG03,F,2.431907
2018,SL_EMP_INJUR,KG03,F,10.021295
2007,SL_EMP_INJUR,KG03,M,107.999691
2008,SL_EMP_INJUR,KG03,M,69.552022
2009,SL_EMP_INJUR,KG03,M,91.481651
2010,SL_EMP_INJUR,KG03,M,82.904418
2011,SL_EMP_INJUR,KG03,M,75.539074
2012,SL_EMP_INJUR,KG03,M,64.422066
2013,SL_EMP_INJUR,KG03,M,76.931147
2014,SL_EMP_INJUR,KG03,M,42.560157000000004
2015,SL_EMP_INJUR,KG03,M,43.027937
2016,SL_EMP_INJUR,KG03,M,46.269163
2017,SL_EMP_INJUR,KG03,M,29.022521
2018,SL_EMP_INJUR,KG03,M,86.089589
2007,SL_EMP_INJUR,KG02,,21.018891
2008,SL_EMP_INJUR,KG02,,31.755273
2009,SL_EMP_INJUR,KG02,,19.005213
2010,SL_EMP_INJUR,KG02,,67.94721
2011,SL_EMP_INJUR,KG02,,31.154265999999996
2012,SL_EMP_INJUR,KG02,,24.584789999999998
2013,SL_EMP_INJUR,KG02,,44.681578
2014,SL_EMP_INJUR,KG02,,29.214916
2015,SL_EMP_INJUR,KG02,,51.985859999999995
2016,SL_EMP_INJUR,KG02,,44.752152
2017,SL_EMP_INJUR,KG02,,18.566162
2018,SL_EMP_INJUR,KG02,,10.143788
2007,SL_EMP_INJUR,KG02,F,15.759613
2008,SL_EMP_INJUR,KG02,F,5.282341000000001
2010,SL_EMP_INJUR,KG02,F,10.077598
2011,SL_EMP_INJUR,KG02,F,5.041339
2012,SL_EMP_INJUR,KG02,F,10.163635000000001
2013,SL_EMP_INJUR,KG02,F,10.07709
2014,SL_EMP_INJUR,KG02,F,5.059449
2015,SL_EMP_INJUR,KG02,F,9.607071000000001
2016,SL_EMP_INJUR,KG02,F,19.536974
2017,SL_EMP_INJUR,KG02,F,14.912019
2007,SL_EMP_INJUR,KG02,M,26.281209000000004
