Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,Units,Value
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,,CL_UNIT_MEASURE.PT,7.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,,CL_UNIT_MEASURE.PT,7.6
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,,CL_UNIT_MEASURE.PT,7.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,,CL_UNIT_MEASURE.PT,6.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,,CL_UNIT_MEASURE.PT,6.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,,CL_UNIT_MEASURE.PT,7.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,,CL_UNIT_MEASURE.PT,7.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,,CL_UNIT_MEASURE.PT,10.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,,CL_UNIT_MEASURE.PT,12.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG05,,CL_UNIT_MEASURE.PT,6.4
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG05,,CL_UNIT_MEASURE.PT,6.4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG05,,CL_UNIT_MEASURE.PT,5.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG05,,CL_UNIT_MEASURE.PT,3.1
