Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_2GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,97.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_2GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,97.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_2GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,97.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_2GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,97.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_2GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,99.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_2GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,99.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_2GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,99.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_3GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,46.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_3GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,51.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_3GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,57.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_3GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,59.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_3GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,60.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_3GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,75.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_3GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,88.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_4GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_4GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,1.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_4GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,40.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_4GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,50.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.IT_MOB_4GNTWK,CL_AREA.KG,CL_UNIT_MEASURE.PT,70.0
