Year,Value,Series
2007,6.1,CL_SERIES.FB_CBK_BRCH
2008,6.5,CL_SERIES.FB_CBK_BRCH
2009,6.6,CL_SERIES.FB_CBK_BRCH
2010,5.7,CL_SERIES.FB_CBK_BRCH
2011,6.8,CL_SERIES.FB_CBK_BRCH
2012,7.3,CL_SERIES.FB_CBK_BRCH
2013,7.4,CL_SERIES.FB_CBK_BRCH
2014,7.4,CL_SERIES.FB_CBK_BRCH
2015,7.8,CL_SERIES.FB_CBK_BRCH
2016,7.9,CL_SERIES.FB_CBK_BRCH
2017,7.7,CL_SERIES.FB_CBK_BRCH
2018,7.6,CL_SERIES.FB_CBK_BRCH
2007,2.5,CL_SERIES.FB_ATM_TOTL
2008,4.9,CL_SERIES.FB_ATM_TOTL
2009,8.7,CL_SERIES.FB_ATM_TOTL
2010,7.6,CL_SERIES.FB_ATM_TOTL
2011,12.3,CL_SERIES.FB_ATM_TOTL
2012,160.0,CL_SERIES.FB_ATM_TOTL
2013,21.1,CL_SERIES.FB_ATM_TOTL
2014,25.3,CL_SERIES.FB_ATM_TOTL
2015,30.8,CL_SERIES.FB_ATM_TOTL
2016,31.9,CL_SERIES.FB_ATM_TOTL
2017,34.2,CL_SERIES.FB_ATM_TOTL
2018,37.7,CL_SERIES.FB_ATM_TOTL
