Value,en,Disaggregation combinations using this value,Number of indicators
ISIC4_A,ISIC4_A,6,5
ISIC4_B,ISIC4_B,4,3
ISIC4_BTE,ISIC4_BTE,2,2
ISIC4_C,ISIC4_C,4,3
ISIC4_D,ISIC4_D,4,3
ISIC4_E,ISIC4_E,4,3
ISIC4_F,ISIC4_F,5,4
ISIC4_G,ISIC4_G,4,3
ISIC4_H,ISIC4_H,4,3
ISIC4_I,ISIC4_I,4,3
ISIC4_J,ISIC4_J,4,3
ISIC4_K,ISIC4_K,4,3
ISIC4_L,ISIC4_L,4,3
ISIC4_M,ISIC4_M,4,3
ISIC4_N,ISIC4_N,4,3
ISIC4_O,ISIC4_O,3,2
ISIC4_P,ISIC4_P,4,3
ISIC4_Q,ISIC4_Q,4,3
ISIC4_R,ISIC4_R,4,3
ISIC4_S,ISIC4_S,5,4
ISIC4_T,ISIC4_T,1,1
ISIC4_U,ISIC4_U,1,1
