Value,en,Disaggregation combinations using this value,Number of indicators
M0,M0,10,1
M0T5,M0T5,1,1
M12T17,M12T17,1,1
M18T23,M18T23,1,1
M24T35,M24T35,1,1
M36T47,M36T47,1,1
M48T59,M48T59,1,1
M6T11,M6T11,1,1
Y0T4,Y0T4,51,3
Y0T5,Y0T5,1,1
Y15T17,Y15T17,5,3
Y15T19,Y15T19,16,7
Y15T24,Y15T24,12,2
Y15T49,Y15T49,47,4
Y17T20,Y17T20,3,1
Y17T24,Y17T24,3,1
Y18T19,Y18T19,2,2
Y1T6,Y1T6,26,1
Y20T24,Y20T24,44,5
Y20T29,Y20T29,2,2
Y25T29,Y25T29,4,4
Y30T34,Y30T34,4,4
Y30T39,Y30T39,2,2
Y35T39,Y35T39,4,4
Y40T44,Y40T44,4,4
Y40T49,Y40T49,2,2
Y45T49,Y45T49,4,4
Y50T54,Y50T54,1,1
Y50T59,Y50T59,2,2
Y55T59,Y55T59,1,1
Y60T64,Y60T64,1,1
Y60T69,Y60T69,1,1
Y65T69,Y65T69,2,2
Y7T17,Y7T17,32,1
Y_GE16,Y_GE16,2,1
Y_GE70,Y_GE70,3,3
