Value,Disaggregation combinations using this value,Number of indicators
"According to Multiple Indicator Cluster Survey, 2014",37,2
"According to Multiple Indicator Cluster Survey, 2014.",29,1
"According to Multiple Indicator Cluster Survey, 2018.",46,2
"According to Multiple Indicator Cluster Survey,2014",26,1
"According to the cluster survey for many indicators, 2018.",47,2
"According to the cluster survey in many respects, 2018.",18,1
*according to the MOF of the KR,10,1
as a percentage of the total number of managers,1,1
*average annual number of present population,1,1
education of mother,4,1
Education of mother,5,1
"excluding unemployed persons, pregnant women, newborns",10,1
household head education,5,1
including Osh city,1,1
Until 2013 - including Osh.,1,1
