Value,Disaggregation combinations using this value,Number of indicators
CL_COMP_BREAKDOWN._L_CNT_BY,1,1
CL_COMP_BREAKDOWN._L_CNT_CN,1,1
CL_COMP_BREAKDOWN._L_CNT_HU,1,1
CL_COMP_BREAKDOWN._L_CNT_KZ,1,1
CL_COMP_BREAKDOWN._L_CNT_RU,1,1
CL_COMP_BREAKDOWN._L_CNT_TJ,1,1
CL_COMP_BREAKDOWN._L_COFOG_GF04,2,1
CL_COMP_BREAKDOWN._L_COFOG_GF06,2,1
CL_COMP_BREAKDOWN._L_COFOG_GF07,2,1
CL_COMP_BREAKDOWN._L_COFOG_GF09,2,1
CL_COMP_BREAKDOWN._L_COFOG_T,2,1
CL_COMP_BREAKDOWN._L_CSE_AGE,2,1
CL_COMP_BREAKDOWN._L_CSE_DISAB,2,1
CL_COMP_BREAKDOWN._L_CSE_DOM,2,1
CL_COMP_BREAKDOWN._L_CSE_FAMILY,2,1
CL_COMP_BREAKDOWN._L_CSE_MARR,2,1
CL_COMP_BREAKDOWN._L_CSE_MATDIFF,2,1
CL_COMP_BREAKDOWN._L_CSE_NODOC,2,1
CL_COMP_BREAKDOWN._L_CSE_NOLANG,2,1
CL_COMP_BREAKDOWN._L_CSE_OTHER,2,1
CL_COMP_BREAKDOWN._L_CSE_PARENTS,2,1
CL_COMP_BREAKDOWN._L_CSE_SEASWORK,2,1
CL_COMP_BREAKDOWN._L_CSE_SICK,2,1
CL_COMP_BREAKDOWN._L_CSE_TRANSPORT,2,1
CL_COMP_BREAKDOWN._L_CSE_UNWILL,2,1
CL_COMP_BREAKDOWN._L_CSE_WORK,2,1
CL_COMP_BREAKDOWN._L_EEX_CHARPLN,1,1
CL_COMP_BREAKDOWN._L_EEX_EPIS,1,1
CL_COMP_BREAKDOWN._L_EEX_NATRES,1,1
CL_COMP_BREAKDOWN._L_EEX_NES,1,1
CL_COMP_BREAKDOWN._L_EEX_OTHER,1,1
CL_COMP_BREAKDOWN._L_EEX_OTHER_BIO,1,1
CL_COMP_BREAKDOWN._L_EEX_POL,1,1
CL_COMP_BREAKDOWN._L_EEX_PROTAN,1,1
CL_COMP_BREAKDOWN._L_EEX_PROTTPLN,1,1
CL_COMP_BREAKDOWN._L_EEX_RD,1,1
CL_COMP_BREAKDOWN._L_EEX_VET,1,1
CL_COMP_BREAKDOWN._L_WS_AQUIFER,1,1
CL_COMP_BREAKDOWN._L_WS_NATURAL,1,1
CL_COMP_BREAKDOWN.IS_256KT2M,1,1
CL_COMP_BREAKDOWN.IS_2MT10M,1,1
CL_COMP_BREAKDOWN.IS_GE10M,1,1
CL_COMP_BREAKDOWN.NCD_CARDIO,10,1
CL_COMP_BREAKDOWN.NCD_CNCR,10,1
CL_COMP_BREAKDOWN.NCD_CRESPD,10,1
CL_COMP_BREAKDOWN.NCD_DIABTS,10,1
CL_COMP_BREAKDOWN.POL_CO,1,1
CL_COMP_BREAKDOWN.POL_GASLIQ,1,1
CL_COMP_BREAKDOWN.POL_NOX,1,1
CL_COMP_BREAKDOWN.POL_S02,1,1
CL_COMP_BREAKDOWN.POL_SOLID,1,1
CL_COMP_BREAKDOWN.SKILL_ICTATCH,2,1
CL_COMP_BREAKDOWN.SKILL_ICTCDV,2,1
CL_COMP_BREAKDOWN.SKILL_ICTCMFL,2,1
CL_COMP_BREAKDOWN.SKILL_ICTCPT,2,1
CL_COMP_BREAKDOWN.SKILL_ICTPRGM,2,1
CL_COMP_BREAKDOWN.SKILL_ICTPST,2,1
CL_COMP_BREAKDOWN.SKILL_ICTSFWR,2,1
CL_COMP_BREAKDOWN.SKILL_ICTSSHT,2,1
CL_COMP_BREAKDOWN.SKILL_ICTTRFF,2,1
