Value,en,Disaggregation combinations using this value,Number of indicators
Accommodation and food service activities,Accommodation and food service activities,4,3
Activities of extraterritorial organisations and bodies,Activities of extraterritorial organisations and bodies,1,1
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1,1
Administrative and support service activities,Administrative and support service activities,4,3
"Agriculture, forestry and fishing","Agriculture, forestry and fishing",6,5
"Arts, entertainment and recreation","Arts, entertainment and recreation",4,3
Construction,Construction,5,4
Education,Education,4,3
"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",4,3
Financial and insurance activities,Financial and insurance activities,4,3
Human health and social work activities,Human health and social work activities,4,3
Industry (total),Industry (total),2,2
Information and communication,Information and communication,4,3
Manufacturing,Manufacturing,4,3
Mining and quarrying,Mining and quarrying,4,3
Other service activities,Other service activities,5,4
"Professional, scientific and technical activities","Professional, scientific and technical activities",4,3
Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,3,2
Real estate activities,Real estate activities,4,3
Transportation and storage,Transportation and storage,4,3
"Water supply; sewerage, waste management and remediation activities","Water supply; sewerage, waste management and remediation activities",4,3
Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale and retail trade; repair of motor vehicles and motorcycles,4,3
