Value,en,Disaggregation combinations using this value,Number of indicators
Bachelor’s or equivalent level,Bachelor’s or equivalent level,1,1
Early childhood education,Early childhood education,2,2
1- этап среднего образования,Lower secondary education,13,12
Послесреднее нетретичное образование,Post-secondary non-tertiary education,12,11
Начальное образование (1-4 классы),Primary education,10,10
Secondary and post-secondary non-tertiary education (intermediate),Secondary and post-secondary non-tertiary education (intermediate),5,3
Secondary education (lower and upper secondary education),Secondary education (lower and upper secondary education),1,1
Short-cycle tertiary education,Short-cycle tertiary education,17,12
Tertiary education (Bachelor’s and Master's or equivalent),Tertiary education (Bachelor’s and Master's or equivalent),7,3
2- этап среднего образования,Upper secondary education,12,11
