Value,en,Disaggregation combinations using this value,Number of indicators
_L_KG_010301_1C2,_L_KG_010301_1C2,1,1
_L_KG_010301_1C4,_L_KG_010301_1C4,1,1
_L_KG_010301_1C6,_L_KG_010301_1C6,1,1
_L_KG_010301_1F1,_L_KG_010301_1F1,1,1
_L_KG_010301_1F2,_L_KG_010301_1F2,1,1
_L_KG_010301_1G1,_L_KG_010301_1G1,1,1
_L_KG_010301_1G2,_L_KG_010301_1G2,1,1
_L_KG_010301_1G3,_L_KG_010301_1G3,1,1
_L_KG_010B01_11,_L_KG_010B01_11,5,1
_L_KG_010B01_12,_L_KG_010B01_12,5,1
_L_KG_050201_1A1,_L_KG_050201_1A1,1,1
_L_KG_050201_1A2,_L_KG_050201_1A2,1,1
_L_KG_050201_1A3,_L_KG_050201_1A3,1,1
_L_KG_050201_1A4,_L_KG_050201_1A4,1,1
_L_KG_050201_1A5,_L_KG_050201_1A5,1,1
_L_KG_060101_2B1,_L_KG_060101_2B1,1,1
_L_KG_060101_2B2,_L_KG_060101_2B2,1,1
_L_KG_080301_21,_L_KG_080301_21,1,1
_L_KG_080301_22,_L_KG_080301_22,1,1
_L_KG_081002_2A,_L_KG_081002_2A,1,1
_L_KG_081002_2B,_L_KG_081002_2B,1,1
_L_KG_100301_1A1,_L_KG_100301_1A1,1,1
_L_KG_100301_1A2,_L_KG_100301_1A2,1,1
_L_KG_100501_11,_L_KG_100501_11,1,1
_L_KG_100501_12,_L_KG_100501_12,1,1
_L_KG_100501_13,_L_KG_100501_13,1,1
_L_KG_160501_1B1,_L_KG_160501_1B1,3,1
_L_KG_160501_1B2,_L_KG_160501_1B2,3,1
FB_ATM_TOTL,FB_ATM_TOTL,1,1
FB_CBK_BRCH,FB_CBK_BRCH,1,1
IT_MOB_2GNTWK,IT_MOB_2GNTWK,1,1
IT_MOB_3GNTWK,IT_MOB_3GNTWK,1,1
IT_MOB_4GNTWK,IT_MOB_4GNTWK,1,1
NV_IND_MANF,NV_IND_MANF,1,1
NV_IND_MANFPC,NV_IND_MANFPC,1,1
SD_XPD_ESED,SD_XPD_ESED,1,1
SG_XPD_HLTH,SG_XPD_HLTH,1,1
SG_XPD_PROT,SG_XPD_PROT,1,1
SH_ACS_DTP3,SH_ACS_DTP3,10,1
SH_ACS_MCV2,SH_ACS_MCV2,10,1
SH_ACS_PCV3,SH_ACS_PCV3,10,1
SH_STA_WAST,SH_STA_WAST,10,1
SL_EMP_FTLINJUR,SL_EMP_FTLINJUR,26,1
SL_EMP_INJUR,SL_EMP_INJUR,30,1
SN_STA_OVWGT,SN_STA_OVWGT,10,1
SP_DYN_MRBF15,SP_DYN_MRBF15,20,1
SP_DYN_MRBF18,SP_DYN_MRBF18,20,1
