Value,Disaggregation combinations using this value,Number of indicators
_T,1,1
"According to Multiple Indicator Cluster Survey, 2018.",40,1
"According to the cluster survey for many indicators, 2018.",87,3
"According to the cluster survey in many respects, 2018.",3,1
according to the MES KR,40,2
*according to the MF of the KR,1,1
*according to the NBKR,2,1
*according to the SAEPF,1,1
*according to the SCITC KR,6,2
"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",20,1
По данным КОМП 2018,12,1
